Node,Community
0,9
1,9
2,3
3,3
4,3
5,5
6,3
7,1
8,1
9,1
10,7
11,1
12,1
13,11
14,14
15,6
16,4
17,9
18,9
19,1
20,17
21,7
22,7
23,13
24,13
25,13
26,13
27,13
28,13
29,13
30,13
31,13
32,13
33,13
34,13
35,13
36,13
37,13
38,13
39,13
40,13
41,2
42,4
43,1
44,1
45,6
46,6
47,18
48,18
49,15
50,15
51,2
52,8
53,8
54,3
55,3
56,3
57,3
58,3
59,3
60,8
61,8
62,11
63,3
64,11
65,14
66,19
67,17
68,17
69,17
70,15
71,15
72,17
73,9
74,9
75,13
76,18
77,11
78,11
79,2
80,17
81,4
82,11
83,11
84,15
85,9
86,11
87,4
88,3
89,3
90,19
91,19
92,7
93,14
94,2
95,2
96,18
97,12
98,12
99,12
100,12
101,12
102,3
103,8
104,8
105,15
106,4
107,11
108,19
109,4
110,19
111,19
112,19
113,18
114,18
115,5
116,5
117,11
118,11
119,13
120,9
121,4
122,10
123,5
124,12
125,12
126,3
127,17
128,2
129,14
130,10
131,3
132,3
133,5
134,7
135,13
136,13
137,3
138,3
139,6
140,6
141,1
142,11
143,19
144,15
145,15
146,9
147,15
148,10
149,10
150,8
151,13
152,15
153,15
154,15
155,4
156,10
157,8
158,16
159,16
160,11
161,1
162,4
163,15
164,6
165,13
166,11
167,2
168,14
169,5
170,5
171,18
172,14
173,7
174,3
175,3
176,14
177,9
178,10
179,8
180,10
181,8
182,8
183,11
184,17
185,12
186,15
187,17
188,17
189,17
190,17
191,10
192,3
193,3
194,3
195,3
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,3
209,16
210,16
211,3
212,15
213,1
214,10
215,9
216,6
217,15
218,9
219,9
220,9
221,9
222,9
223,9
224,9
225,9
226,9
227,9
228,9
229,13
230,15
231,10
232,2
233,16
234,16
235,16
236,16
237,16
238,16
239,16
240,16
241,16
242,16
243,16
244,16
245,18
246,1
247,1
248,9
249,11
250,8
251,13
252,3
253,9
254,4
255,4
256,11
257,14
258,19
259,17
260,17
261,13
262,10
263,18
264,1
265,1
266,1
267,1
268,9
269,6
270,14
271,3
272,6
273,6
274,6
275,14
276,14
277,10
278,10
279,16
280,14
281,3
282,15
283,11
284,10
285,3
286,3
287,17
288,15
289,14
290,11
