Node,Community
0,"[0, 5]"
1,[0]
2,"[7, 14]"
3,[7]
4,"[7, 16]"
5,"[7, 18, 19, 20, 21, 22]"
6,"[7, 23]"
7,"[3, 24]"
8,[3]
9,[3]
10,[0]
11,[3]
12,"[3, 25]"
13,[11]
14,[1]
15,"[4, 26]"
16,[0]
17,[0]
18,"[0, 27]"
19,[3]
20,[0]
21,"[0, 28]"
22,"[0, 29]"
23,[11]
24,[11]
25,[11]
26,[11]
27,[11]
28,[11]
29,[11]
30,"[11, 30]"
31,[11]
32,"[11, 31]"
33,"[11, 32]"
34,[11]
35,[11]
36,[11]
37,"[11, 33]"
38,"[11, 34]"
39,[11]
40,[11]
41,[1]
42,[0]
43,[3]
44,[3]
45,[4]
46,[4]
47,[11]
48,[11]
49,"[0, 35]"
50,[0]
51,"[1, 36]"
52,"[2, 37, 38, 39, 40]"
53,[2]
54,[7]
55,"[7, 41]"
56,[7]
57,"[7, 42]"
58,"[7, 43]"
59,[7]
60,[2]
61,[2]
62,[0]
63,[7]
64,[1]
65,"[1, 45, 46, 47, 48, 49, 50]"
66,"[0, 51]"
67,[0]
68,"[0, 52]"
69,"[0, 53]"
70,[0]
71,[0]
72,"[0, 54]"
73,[0]
74,[0]
75,[11]
76,"[11, 55]"
77,[0]
78,[0]
79,[0]
80,[0]
81,[0]
82,"[0, 57]"
83,[0]
84,"[0, 58, 59, 3]"
85,"[0, 60]"
86,"[1, 61, 62]"
87,"[0, 63]"
88,"[5, 7, 64, 65]"
89,"[7, 66]"
90,"[0, 67]"
91,[0]
92,[0]
93,[1]
94,[1]
95,"[1, 68]"
96,"[11, 69]"
97,[4]
98,[4]
99,[4]
100,[4]
101,[4]
102,[7]
103,[2]
104,[2]
105,[0]
106,[0]
107,"[0, 70, 71, 72]"
108,"[0, 73]"
109,"[36, 0, 73]"
110,[0]
111,[0]
112,"[24, 0]"
113,[11]
114,[11]
115,[11]
116,[11]
117,"[0, 74]"
118,"[0, 75]"
119,[11]
120,"[0, 76]"
121,"[0, 77, 78, 79]"
122,[2]
123,[11]
124,"[4, 80]"
125,[4]
126,[7]
127,"[0, 81]"
128,[1]
129,"[1, 82]"
130,"[2, 83, 84]"
131,[7]
132,[7]
133,[1]
134,[10]
135,[11]
136,[11]
137,"[7, 85, 86]"
138,[7]
139,"[4, 55]"
140,[4]
141,[3]
142,[0]
143,[0]
144,[0]
145,"[0, 87]"
146,[0]
147,[0]
148,"[2, 88]"
149,"[2, 65]"
150,[2]
151,[11]
152,[0]
153,[0]
154,[0]
155,"[0, 89, 90, 91]"
156,[2]
157,"[2, 92]"
158,[7]
159,[7]
160,[2]
161,[3]
162,[0]
163,"[0, 93, 94]"
164,[4]
165,[11]
166,"[0, 95, 96]"
167,[1]
168,"[1, 97]"
169,[11]
170,"[11, 98, 99]"
171,[11]
172,[1]
173,[0]
174,[7]
175,[7]
176,[1]
177,[2]
178,[2]
179,[2]
180,[2]
181,[2]
182,[2]
183,[1]
184,[0]
185,"[37, 4]"
186,"[0, 100]"
187,[0]
188,[0]
189,"[0, 101]"
190,"[0, 102]"
191,"[2, 103, 104]"
192,[7]
193,[7]
194,[7]
195,[7]
196,"[1, 105]"
197,[1]
198,"[1, 106]"
199,"[1, 107]"
200,[1]
201,[1]
202,"[1, 108, 109]"
203,[1]
204,[1]
205,[1]
206,"[1, 110, 111]"
207,[1]
208,[7]
209,[7]
210,[7]
211,"[7, 112, 113, 114, 115]"
212,[0]
213,[3]
214,[2]
215,"[0, 116]"
216,[4]
217,[0]
218,[0]
219,[0]
220,"[11, 52, 67]"
221,[0]
222,[0]
223,"[0, 117]"
224,[0]
225,"[0, 88]"
226,[0]
227,[0]
228,"[0, 118]"
229,[11]
230,"[0, 119, 120]"
231,"[2, 121, 122, 123, 124, 125]"
232,"[1, 126]"
233,[7]
234,[7]
235,"[7, 3]"
236,[7]
237,[7]
238,"[7, 127, 128]"
239,[7]
240,[7]
241,"[7, 129]"
242,"[7, 130]"
243,"[7, 131]"
244,[7]
245,[11]
246,"[3, 132, 133]"
247,[3]
248,[0]
249,[0]
