Node,Community,length_column
3307,"[7, 8, 5672, 282, 62]",5
2021,"[8, 1721, 62, 7]",4
2181,"[8, 760, 3, 62]",4
1104,"[62, 31, 22, 23]",4
4996,"[8, 1721, 62, 7]",4
876,"[8, 760, 282, 62]",4
3538,"[8, 282, 62, 7]",4
3540,"[3, 62, 203, 22]",4
1435,"[62, 5672, 282, 22]",4
3410,"[8, 1721, 3, 62]",4
3477,"[282, 3, 62, 31]",4
5131,"[8, 1721, 62, 7]",4
2269,"[3, 59, 62, 31]",4
1781,"[282, 3, 62, 22]",4
3393,"[1721, 282, 62, 7]",4
4179,"[8, 5672, 685, 62]",4
681,"[8, 685, 62]",3
3120,"[5672, 1721, 62]",3
1166,"[282, 62, 22]",3
1485,"[59, 62, 7]",3
1239,"[760, 1721, 62]",3
3707,"[5672, 8, 62]",3
4129,"[8, 62, 7]",3
4385,"[760, 282, 62]",3
3627,"[760, 1721, 62]",3
5983,"[5672, 1721, 62]",3
4142,"[8, 62, 7]",3
4985,"[1721, 62, 7]",3
5224,"[1721, 62, 7]",3
3631,"[5672, 62, 7]",3
4133,"[8, 760, 62]",3
1291,"[5672, 62, 31]",3
1795,"[282, 685, 62]",3
1060,"[8, 1721, 62]",3
1240,"[685, 62, 22]",3
1290,"[685, 62, 31]",3
3475,"[8, 3, 62]",3
1657,"[8, 62, 22]",3
501,"[685, 62, 22]",3
3433,"[1721, 282, 62]",3
6039,"[5672, 1721, 62]",3
1091,"[62, 685, 22]",3
4258,"[5672, 1721, 62]",3
2701,"[1721, 62, 7]",3
6001,"[5672, 1721, 62]",3
1842,"[62, 22, 55]",3
3167,"[760, 68, 62]",3
1839,"[62, 3, 22]",3
1635,"[760, 282, 62]",3
4645,"[1721, 62, 7]",3
1637,"[62, 3, 22]",3
3948,"[8, 282, 62]",3
1041,"[62, 3, 22]",3
4244,"[8, 1721, 62]",3
2563,"[282, 62, 7]",3
3426,"[8, 62, 7]",3
1829,"[62, 22, 31]",3
1223,"[685, 62, 31]",3
3412,"[1721, 282, 62]",3
1454,"[8, 187, 62]",3
3945,"[8, 62, 863]",3
1823,"[8, 282, 62]",3
3152,"[760, 685, 62]",3
5310,"[1721, 62, 7]",3
5282,"[1721, 62, 7]",3
2914,"[62, 5672, 22]",3
1818,"[282, 187, 62]",3
4224,"[62, 203, 22]",3
5857,"[1721, 62, 7]",3
3623,"[8, 62, 7]",3
3102,"[8, 1721, 62]",3
3863,"[62, 685, 22]",3
3941,"[282, 62, 7]",3
2192,"[282, 62, 7]",3
5585,"[5672, 1721, 62]",3
4428,"[760, 1721, 62]",3
4488,"[8, 62, 23]",3
2445,"[685, 62, 31]",3
2836,"[5672, 1721, 62]",3
3040,"[8, 62, 7]",3
3041,"[8, 62, 7]",3
4477,"[8, 62, 7]",3
3872,"[8, 62, 7]",3
605,"[62, 1721, 22]",3
1516,"[685, 62, 23]",3
3045,"[8, 893, 62]",3
1518,"[685, 62, 22]",3
1519,"[3, 685, 62]",3
4463,"[8, 282, 62]",3
1126,"[3, 62, 7]",3
5425,"[1721, 62, 7]",3
3589,"[8, 59, 62]",3
2476,"[8, 282, 62]",3
2475,"[5672, 62, 55]",3
319,"[8, 62, 31]",3
718,"[3, 62, 7]",3
5007,"[8, 1721, 62]",3
3587,"[62, 59, 203]",3
4195,"[8, 62, 7]",3
4201,"[1721, 62, 7]",3
4784,"[5672, 62, 31]",3
2502,"[8, 62, 55]",3
1265,"[3, 187, 62]",3
1550,"[8, 1721, 62]",3
134,"[62, 3, 22]",3
3107,"[8, 1721, 62]",3
563,"[5672, 62, 31]",3
5182,"[1721, 62, 7]",3
781,"[68, 685, 62]",3
4256,"[8, 62, 22]",3
1763,"[5672, 685, 62]",3
1761,"[282, 685, 62]",3
2515,"[7, 62, 55]",3
3029,"[8, 893, 62]",3
3097,"[1721, 62, 7]",3
2255,"[5672, 1721, 62]",3
2172,"[8, 3, 62]",3
1743,"[62, 22, 7]",3
2509,"[8, 62, 7]",3
158,"[282, 62, 23]",3
