info/authors/author/0/_pid,info/authors/author/0/__text,info/authors/author/1/_pid,info/authors/author/1/__text,info/authors/author/2/_pid,info/authors/author/2/__text,info/title,info/venue,info/pages,info/year,info/type,info/access,info/key,info/ee,info/url,url,_score,_id,info/authors/author/3/_pid,info/authors/author/3/__text,info/authors/author/4/_pid,info/authors/author/4/__text,info/authors/author/5/_pid,info/authors/author/5/__text,info/authors/author/6/_pid,info/authors/author/6/__text,info/authors/author/7/_pid,info/authors/author/7/__text,info/authors/author/8/_pid,info/authors/author/8/__text,info/authors/author/9/_pid,info/authors/author/9/__text,info/authors/author/10/_pid,info/authors/author/10/__text,info/authors/author/11/_pid,info/authors/author/11/__text,info/authors/author/12/_pid,info/authors/author/12/__text,info/authors/author/13/_pid,info/authors/author/13/__text,info/authors/author/14/_pid,info/authors/author/14/__text,info/authors/author/15/_pid,info/authors/author/15/__text,info/authors/author/16/_pid,info/authors/author/16/__text,info/authors/author/17/_pid,info/authors/author/17/__text,info/authors/author/18/_pid,info/authors/author/18/__text,info/authors/author/19/_pid,info/authors/author/19/__text
148/7188-1,Rong Yin 0001,29/4867-18,Yong Liu 0018,01/2538,Dan Meng,Distributed Randomized Sketching Kernel Learning.,AAAI,8883-8891,2022,Conference and Workshop Papers,closed,conf/aaai/00010M22,https://ojs.aaai.org/index.php/AAAI/article/view/20870,https://dblp.org/rec/conf/aaai/00010M22,URL#305034,1,305034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267/5311-1,Keyi Chen 0001,77/4488,John Langford 0001,80/3790,Francesco Orabona,Better Parameter-Free Stochastic Optimization with ODE Updates for Coin-Betting.,AAAI,6239-6247,2022,Conference and Workshop Papers,closed,conf/aaai/00010O22,https://ojs.aaai.org/index.php/AAAI/article/view/20573,https://dblp.org/rec/conf/aaai/00010O22,URL#305035,1,305035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59/9543-1,Zhenzhi Wang 0001,68/6610-2,Limin Wang 0002,20/5998,Tao Wu,Negative Sample Matters: A Renaissance of Metric Learning for Temporal Grounding.,AAAI,2613-2623,2022,Conference and Workshop Papers,closed,conf/aaai/00010WLW22,https://ojs.aaai.org/index.php/AAAI/article/view/20163,https://dblp.org/rec/conf/aaai/00010WLW22,URL#305036,1,305036,69/2238,Tianhao Li,78/1123,Gangshan Wu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168/0934-1,Chenyang Huang 0001,63/778-12,Hao Zhou 0012,z/OsmarRZaiane,Osmar R. Zaïane,Non-autoregressive Translation with Layer-Wise Prediction and Deep Supervision.,AAAI,10776-10784,2022,Conference and Workshop Papers,closed,conf/aaai/00010ZM022,https://ojs.aaai.org/index.php/AAAI/article/view/21323,https://dblp.org/rec/conf/aaai/00010ZM022,URL#305037,1,305037,127/0779,Lili Mou,13/7007-5,Lei Li 0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187/9581-1,Jannik Peters 0001,,,,,Online Elicitation of Necessarily Optimal Matchings.,AAAI,5164-5172,2022,Conference and Workshop Papers,closed,conf/aaai/000122,https://ojs.aaai.org/index.php/AAAI/article/view/20451,https://dblp.org/rec/conf/aaai/000122,URL#305038,1,305038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48/6248-1,Lijing Wang 0001,157/7682,Aniruddha Adiga,46/3838,Jiangzhuo Chen,CausalGNN: Causal-Based Graph Neural Networks for Spatio-Temporal Epidemic Forecasting.,AAAI,12191-12199,2022,Conference and Workshop Papers,closed,conf/aaai/0001ACSVM22,https://ojs.aaai.org/index.php/AAAI/article/view/21479,https://dblp.org/rec/conf/aaai/0001ACSVM22,URL#305039,1,305039,53/8399,Adam Sadilek,29/7865,Srinivasan Venkatramanan,52/991,Madhav V. Marathe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/FBrandt,Felix Brandt 0001,266/5624,Martin Bullinger,324/0605,Leo Tappe,Single-Agent Dynamics in Additively Separable Hedonic Games.,AAAI,4867-4874,2022,Conference and Workshop Papers,closed,conf/aaai/0001BT22,https://ojs.aaai.org/index.php/AAAI/article/view/20415,https://dblp.org/rec/conf/aaai/0001BT22,URL#305040,1,305040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67/2967,Haris Aziz 0001,02/3474,Péter Biró,32/2416,Makoto Yokoo,Matching Market Design with Constraints.,AAAI,12308-12316,2022,Conference and Workshop Papers,closed,conf/aaai/0001BY22,https://ojs.aaai.org/index.php/AAAI/article/view/21495,https://dblp.org/rec/conf/aaai/0001BY22,URL#305041,1,305041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222/6721-1,Chaoyang He 0001,225/3227,Emir Ceyani,258/9128,Keshav Balasubramanian,SpreadGNN: Decentralized Multi-Task Federated Learning for Graph Neural Networks on Molecular Data.,AAAI,6865-6873,2022,Conference and Workshop Papers,closed,conf/aaai/0001CBAA22,https://ojs.aaai.org/index.php/AAAI/article/view/20643,https://dblp.org/rec/conf/aaai/0001CBAA22,URL#305042,1,305042,02/5812,Murali Annavaram,63/1946,Salman Avestimehr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198/6422-1,Jiaoyang Li 0001,06/4240,Zhe Chen,83/8778,Daniel Harabor,MAPF-LNS2: Fast Repairing for Multi-Agent Path Finding via Large Neighborhood Search.,AAAI,10256-10265,2022,Conference and Workshop Papers,closed,conf/aaai/0001CHSK22,https://ojs.aaai.org/index.php/AAAI/article/view/21266,https://dblp.org/rec/conf/aaai/0001CHSK22,URL#305043,1,305043,s/PeterJStuckey,Peter J. Stuckey,k/SvenKoenig,Sven Koenig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/5046-1,Sumit Kumar Jha 0001,127/9041,Rickard Ewetz,151/6275,Alvaro Velasquez,Shaping Noise for Robust Attributions in Neural Stochastic Differential Equations.,AAAI,9567-9574,2022,Conference and Workshop Papers,closed,conf/aaai/0001EVRJ22,https://ojs.aaai.org/index.php/AAAI/article/view/21190,https://dblp.org/rec/conf/aaai/0001EVRJ22,URL#305044,1,305044,51/5675,Arvind Ramanathan,61/4923,Susmit Jha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72/2103-1,Christian Schilling 0001,183/2950,Marcelo Forets,309/4723,Sebastián Guadalupe,Verification of Neural-Network Control Systems by Integrating Taylor Models and Zonotopes.,AAAI,8169-8177,2022,Conference and Workshop Papers,closed,conf/aaai/0001FG22,https://ojs.aaai.org/index.php/AAAI/article/view/20790,https://dblp.org/rec/conf/aaai/0001FG22,URL#305045,1,305045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230/9976,Jia-Qi Yang 0001,308/6342,Ke-Bin Fan,86/4227,Hao Ma,RID-Noise: Towards Robust Inverse Design under Noisy Environments.,AAAI,4654-4661,2022,Conference and Workshop Papers,closed,conf/aaai/0001FMZ22,https://ojs.aaai.org/index.php/AAAI/article/view/20390,https://dblp.org/rec/conf/aaai/0001FMZ22,URL#305046,1,305046,74/498,De-Chuan Zhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133/1905,Piotr Skowron 0001,324/0471,Adrian Górecki,,,Proportional Public Decisions.,AAAI,5191-5198,2022,Conference and Workshop Papers,closed,conf/aaai/0001G22,https://ojs.aaai.org/index.php/AAAI/article/view/20454,https://dblp.org/rec/conf/aaai/0001G22,URL#305047,1,305047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53/8073-1,Haipeng Chen 0001,245/3484,Susobhan Ghosh,324/1051,Gregory Fan,Using Public Data to Predict Demand for Mobile Health Clinics.,AAAI,12461-12467,2022,Conference and Workshop Papers,closed,conf/aaai/0001GFBBWOT22,https://ojs.aaai.org/index.php/AAAI/article/view/21513,https://dblp.org/rec/conf/aaai/0001GFBBWOT22,URL#305048,1,305048,324/1587,Nikhil Behari,162/5030,Arpita Biswas,324/1242,Mollie Williams,248/5291,Nancy E. Oriol,67/2667,Milind Tambe,,,,,,,,,,,,,,,,,,,,,,,,
29/5433-1,Alireza Farhadi 0001,270/2139,Jacob Gilbert,334/4488,MohammadTaghi Hajiaghayi,Generalized Stochastic Matching.,AAAI,10008-10015,2022,Conference and Workshop Papers,closed,conf/aaai/0001GH22,https://ojs.aaai.org/index.php/AAAI/article/view/21239,https://dblp.org/rec/conf/aaai/0001GH22,URL#305049,1,305049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/7505-1,Bart Bogaerts 0001,205/6044,Stephan Gocht,119/4841,Ciaran McCreesh,Certified Symmetry and Dominance Breaking for Combinatorial Optimisation.,AAAI,3698-3707,2022,Conference and Workshop Papers,closed,conf/aaai/0001GMN22,https://ojs.aaai.org/index.php/AAAI/article/view/20283,https://dblp.org/rec/conf/aaai/0001GMN22,URL#305050,1,305050,88/3143,Jakob Nordström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
