group,variable,value
1821,2620,0.0
1821,3104,0.0092945441026117
1821,4378,0.0185890882052235
1821,2796,0.0
1821,1796,0.0185890882052235
1821,471,0.0
1821,4169,0.0185890882052235
1821,1061,0.0278836323078353
1821,1844,0.0
1821,4080,0.0
1821,4287,0.0092945441026117
1821,4570,0.0185890882052235
1821,2257,0.0
1821,4162,0.0092945441026117
1821,1341,0.0092945441026117
1821,3661,0.0
1821,3016,0.0278836323078353
1821,1634,0.0185890882052235
1821,159,0.0
1821,344,0.0
4654,2620,0.0
4654,3104,0.0110411836148835
4654,4378,0.022082367229767
4654,2796,0.0110411836148835
4654,1796,0.0110411836148835
4654,471,0.0
4654,4169,0.0
4654,1061,0.0
4654,1844,0.022082367229767
4654,4080,0.0
4654,4287,0.0
4654,4570,0.0
4654,2257,0.0
4654,4162,0.0
4654,1341,0.0
4654,3661,0.0110411836148835
4654,3016,0.0331235508446505
4654,1634,0.0
4654,159,0.0331235508446505
4654,344,0.044164734459534
1558,2620,0.0111957008508732
1558,3104,0.0223914017017465
1558,4378,0.0111957008508732
1558,2796,0.0
1558,1796,0.0
1558,471,0.0
1558,4169,0.0
1558,1061,0.0111957008508732
1558,1844,0.0
1558,4080,0.0
1558,4287,0.0
1558,4570,0.0111957008508732
1558,2257,0.0
1558,4162,0.0111957008508732
1558,1341,0.0111957008508732
1558,3661,0.0223914017017465
1558,3016,0.0
1558,1634,0.0111957008508732
1558,159,0.044782803403493
1558,344,0.0559785042543663
1899,2620,0.024204284158296
1899,3104,0.012102142079148
1899,4378,0.0
1899,2796,0.0
1899,1796,0.012102142079148
1899,471,0.036306426237444
1899,4169,0.0
1899,1061,0.06051071039574
1899,1844,0.036306426237444
1899,4080,0.012102142079148
1899,4287,0.12102142079148
1899,4570,0.012102142079148
1899,2257,0.0
1899,4162,0.012102142079148
1899,1341,0.06051071039574
1899,3661,0.048408568316592
1899,3016,0.024204284158296
1899,1634,0.0
1899,159,0.036306426237444
1899,344,0.036306426237444
3963,2620,0.0
3963,3104,0.0123624675485226
3963,4378,0.037087402645568
3963,2796,0.0123624675485226
3963,1796,0.0247249350970453
3963,471,0.0
3963,4169,0.0494498701940907
3963,1061,0.0123624675485226
3963,1844,0.037087402645568
3963,4080,0.0
3963,4287,0.0247249350970453
3963,4570,0.0
3963,2257,0.0123624675485226
3963,4162,0.0123624675485226
3963,1341,0.0247249350970453
3963,3661,0.0
3963,3016,0.037087402645568
3963,1634,0.0
3963,159,0.0618123377426134
3963,344,0.0618123377426134
348,2620,0.0
348,3104,0.0
348,4378,0.0
348,2796,0.0
348,1796,0.0
348,471,0.0
348,4169,0.0
348,1061,0.0128832775057974
348,1844,0.0128832775057974
348,4080,0.0257665550115949
348,4287,0.0
348,4570,0.1159494975521772
348,2257,0.0
348,4162,0.0386498325173924
348,1341,0.0128832775057974
348,3661,0.0257665550115949
348,3016,0.0257665550115949
348,1634,0.0
348,159,0.0128832775057974
348,344,0.0128832775057974
3214,2620,0.0133725595078898
3214,3104,0.0
3214,4378,0.0133725595078898
3214,2796,0.0133725595078898
3214,1796,0.0133725595078898
3214,471,0.0401176785236694
3214,4169,0.0133725595078898
3214,1061,0.0
3214,1844,0.0401176785236694
3214,4080,0.0
3214,4287,0.0133725595078898
3214,4570,0.0267451190157796
3214,2257,0.066862797539449
3214,4162,0.0133725595078898
3214,1341,0.0
3214,3661,0.0267451190157796
3214,3016,0.0133725595078898
3214,1634,0.0401176785236694
3214,159,0.0267451190157796
3214,344,0.0267451190157796
1343,2620,0.0
1343,3104,0.0134553283100107
1343,4378,0.053821313240043
1343,2796,0.0134553283100107
1343,1796,0.0672766415500538
1343,471,0.0134553283100107
1343,4169,0.0
1343,1061,0.0134553283100107
1343,1844,0.0134553283100107
1343,4080,0.0269106566200215
1343,4287,0.0403659849300322
1343,4570,0.0
1343,2257,0.0403659849300322
1343,4162,0.0269106566200215
1343,1341,0.0269106566200215
1343,3661,0.053821313240043
1343,3016,0.0
1343,1634,0.0403659849300322
1343,159,0.0269106566200215
1343,344,0.0134553283100107
3864,2620,0.0
3864,3104,0.0
3864,4378,0.0
3864,2796,0.0
3864,1796,0.0
3864,471,0.0
3864,4169,0.0
3864,1061,0.0404258186228271
3864,1844,0.0
3864,4080,0.0
3864,4287,0.0539010914971028
3864,4570,0.0134752728742757
3864,2257,0.0
3864,4162,0.0
3864,1341,0.0134752728742757
3864,3661,0.0134752728742757
3864,3016,0.0269505457485514
3864,1634,0.0
3864,159,0.0
3864,344,0.0
3209,2620,0.0285755107872553
3209,3104,0.0571510215745106
3209,4378,0.0
3209,2796,0.0142877553936276
3209,1796,0.0
3209,471,0.0
3209,4169,0.0142877553936276
3209,1061,0.0714387769681383
3209,1844,0.0
3209,4080,0.0
3209,4287,0.0
3209,4570,0.0
3209,2257,0.0142877553936276
3209,4162,0.0
3209,1341,0.0
3209,3661,0.0142877553936276
3209,3016,0.0
3209,1634,0.0428632661808829
3209,159,0.0
3209,344,0.0857265323617659
4826,2620,0.0
4826,3104,0.0
4826,4378,0.0151883353584447
4826,2796,0.0759416767922235
4826,1796,0.0
4826,471,0.0151883353584447
4826,4169,0.0151883353584447
4826,1061,0.0
4826,1844,0.0151883353584447
4826,4080,0.0151883353584447
4826,4287,0.0
4826,4570,0.0
4826,2257,0.0151883353584447
4826,4162,0.0455650060753341
4826,1341,0.0151883353584447
4826,3661,0.0
4826,3016,0.0455650060753341
4826,1634,0.0
4826,159,0.0
4826,344,0.0151883353584447
3288,2620,0.0
3288,3104,0.0
3288,4378,0.033607797008906
3288,2796,0.0
3288,1796,0.0
3288,471,0.0
3288,4169,0.0
3288,1061,0.033607797008906
3288,1844,0.033607797008906
3288,4080,0.0
3288,4287,0.016803898504453
3288,4570,0.0
3288,2257,0.0504116955133591
3288,4162,0.016803898504453
3288,1341,0.016803898504453
3288,3661,0.0
3288,3016,0.0
3288,1634,0.0
3288,159,0.0504116955133591
3288,344,0.0
2463,2620,0.0505646384628349
2463,3104,0.0
2463,4378,0.0168548794876116
2463,2796,0.0337097589752233
2463,1796,0.0
2463,471,0.0168548794876116
2463,4169,0.0168548794876116
2463,1061,0.0
2463,1844,0.0842743974380583
2463,4080,0.0
2463,4287,0.0
2463,4570,0.0
2463,2257,0.0
2463,4162,0.0
2463,1341,0.0
2463,3661,0.0
2463,3016,0.1011292769256699
2463,1634,0.0337097589752233
2463,159,0.0674195179504466
2463,344,0.0168548794876116
2486,2620,0.01700969552645
2486,3104,0.0
2486,4378,0.0
2486,2796,0.0
2486,1796,0.1020581731587004
2486,471,0.01700969552645
2486,4169,0.0
2486,1061,0.0
2486,1844,0.1020581731587004
2486,4080,0.0
2486,4287,0.0
2486,4570,0.0680387821058003
2486,2257,0.0
2486,4162,0.01700969552645
2486,1341,0.0340193910529001
2486,3661,0.0
2486,3016,0.0
2486,1634,0.01700969552645
2486,159,0.0340193910529001
2486,344,0.0
3579,2620,0.0
3579,3104,0.0170532060027285
3579,4378,0.0511596180081855
3579,2796,0.034106412005457
3579,1796,0.0170532060027285
3579,471,0.0170532060027285
3579,4169,0.0511596180081855
3579,1061,0.0511596180081855
3579,1844,0.0511596180081855
3579,4080,0.068212824010914
3579,4287,0.0170532060027285
3579,4570,0.0170532060027285
3579,2257,0.102319236016371
3579,4162,0.0170532060027285
3579,1341,0.0170532060027285
3579,3661,0.034106412005457
3579,3016,0.0511596180081855
3579,1634,0.1364256480218281
3579,159,0.0170532060027285
3579,344,0.0170532060027285
1446,2620,0.0188643652141105
1446,3104,0.0188643652141105
1446,4378,0.037728730428221
1446,2796,0.0943218260705527
1446,1796,0.037728730428221
1446,471,0.0
1446,4169,0.0
1446,1061,0.037728730428221
1446,1844,0.0565930956423316
1446,4080,0.0
1446,4287,0.037728730428221
1446,4570,0.0188643652141105
1446,2257,0.0
1446,4162,0.0188643652141105
1446,1341,0.0188643652141105
1446,3661,0.0
1446,3016,0.0565930956423316
1446,1634,0.0565930956423316
1446,159,0.0188643652141105
1446,344,0.0
3122,2620,0.0378501135503406
3122,3104,0.0378501135503406
3122,4378,0.0567751703255109
3122,2796,0.0
3122,1796,0.0757002271006813
3122,471,0.0
3122,4169,0.0378501135503406
3122,1061,0.0
3122,1844,0.0
3122,4080,0.0
3122,4287,0.0946252838758516
3122,4570,0.0
3122,2257,0.0378501135503406
3122,4162,0.0189250567751703
3122,1341,0.0189250567751703
3122,3661,0.0189250567751703
3122,3016,0.0
3122,1634,0.0
3122,159,0.0
3122,344,0.0189250567751703
