group,variable,value
6,6,75.07942900613057
6,2,1.0829194075267374
6,3,0.3468027028236452
6,19,0.0
6,13,1.4476216046896675
6,17,0.0570546382064706
6,39,0.0469861726406229
6,1,0.6320758938559986
6,32,0.0212556495279008
6,25,0.0883787533002192
6,97,0.0
6,191,0.0
6,16,0.1823510985814651
6,55,0.2349308632031145
6,68,0.0
6,36882,0.0
6,58,0.0
6,77,0.2528303575423994
6,2036,0.0
6,78,0.0
2,6,2.140697440032252
2,2,84.12215279177585
2,3,0.2257609352953034
2,19,0.0
2,13,0.7196129812537795
2,17,0.1632735335617819
2,39,0.1128804676476517
2,1,0.5845595646039106
2,32,0.0
2,25,0.1955250957468252
2,97,0.0
2,191,0.0
2,16,0.3063898407579117
2,55,0.0161257810925216
2,68,0.0
2,36882,0.0
2,58,0.0
2,77,0.0645031243700866
2,2036,0.0
2,78,0.0
3,6,0.5515957688291642
3,2,0.2292640849866073
3,3,88.70931129976847
3,19,0.0
3,13,0.3314114495846007
3,17,0.1452762518727016
3,39,0.0
3,1,0.3019022109229582
3,32,0.0
3,25,0.0181595314840877
3,97,0.0
3,191,0.0
3,16,0.1725155490988332
3,55,0.0090797657420438
3,68,0.0
3,36882,0.0
3,58,0.0
3,77,0.0136196486130657
3,2036,0.0
3,78,0.0
15,6,1.9337641763271052
15,2,0.6613523775995173
15,3,0.3545653431236955
15,19,0.0
15,13,0.309301682299394
15,17,0.0528076042950184
15,39,0.0050292956471446
15,1,1.4107174290240652
15,32,0.09807126511932
15,25,0.367138582241557
15,97,0.0
15,191,0.0
15,16,1.4559810898483667
15,55,0.6839842080116679
15,68,0.0
15,36882,0.0
15,58,0.0
15,77,0.0125732391178615
15,2036,0.0
15,78,0.0
17,6,0.2011655770197911
17,2,0.3993728367304677
17,3,0.1686240866195308
17,19,0.0
17,13,1.0975357216815076
17,17,0.0059166346182291
17,39,0.0
17,1,1.1448687986273407
17,32,0.0
17,25,0.0591663461822915
17,97,0.0
17,191,0.0
17,16,81.59039138538
17,55,0.215957163565364
17,68,0.0
17,36882,0.0
17,58,0.0
17,77,0.1479158654557288
17,2036,0.0
17,78,0.0
12,6,2.8693455245428297
12,2,0.3338546679499519
12,3,8.749398460057748
12,19,0.0
12,13,0.4331087584215591
12,17,0.0842155919153031
12,39,0.0
12,1,0.1864773820981713
12,32,0.0902309913378248
12,25,0.087223291626564
12,97,0.0
12,191,0.0
12,16,0.5564244465832532
12,55,1.3835418671799806
12,68,0.0
12,36882,0.0
12,58,0.0
12,77,0.0060153994225216
12,2036,0.0
12,78,0.0
13,6,10.953648335695275
13,2,3.197262452041063
13,3,0.1209774981853375
13,19,0.0
13,13,41.79254087311189
13,17,0.8088209878676853
13,39,0.062216999066745
13,1,0.5564964916525525
13,32,0.1555424976668625
13,25,0.6325394905119077
13,97,0.0
13,191,0.0
13,16,0.3767584943486226
13,55,0.9539939856900902
13,68,0.0
13,36882,0.0
13,58,0.0
13,77,0.2868894956966575
13,2036,0.0
13,78,0.0
39,6,1.589865058857307
39,2,2.84596612115992
39,3,0.6065173700832616
39,19,0.0
39,13,0.100488084984209
39,17,0.1291989664082687
39,39,0.0
39,1,0.7680160780935975
39,32,0.0430663221360895
39,25,0.1543209876543209
39,97,0.0
39,191,0.0
39,16,0.6890611541774333
39,55,0.1184323858742463
39,68,0.0
39,36882,0.0
39,58,0.0
39,77,0.0430663221360895
39,2036,0.0
39,78,0.0
31,6,1.0459415289631375
31,2,0.4249137461412747
31,3,0.312329762120937
31,19,0.0
31,13,0.8897766479026693
31,17,0.0581078627201743
31,39,0.0472126384601416
31,1,13.895042672961685
31,32,0.0544761213001634
31,25,0.4285454875612857
31,97,0.0
31,191,0.0
31,16,0.9043036135827128
31,55,0.5011803159615035
31,68,0.0
31,36882,0.0
31,58,0.0
31,77,0.0762665698202288
31,2036,0.0
31,78,0.0
52,6,1.1934834340106169
52,2,0.2782354017938861
52,3,0.1354567087680761
52,19,0.0
52,13,0.0988467874794069
52,17,0.0366099212886692
52,39,0.0
52,1,0.2123375434742815
52,32,0.1464396851546769
52,25,0.1317957166392092
52,97,0.0
52,191,0.0
52,16,0.1281347245103423
52,55,0.4759289767527
52,68,0.0
52,36882,0.0
52,58,0.0
52,77,0.0695588504484715
52,2036,0.0
52,78,0.0
57,6,0.4477779021605284
57,2,0.0074629650360088
57,3,0.3619538042464271
57,19,0.0
57,13,0.0335833426620396
57,17,0.3171760140303742
57,39,0.0298518601440352
57,1,0.6156946154707266
57,32,0.055972237770066
57,25,0.268666741296317
57,97,0.0
57,191,0.0
57,16,0.9851113847531624
57,55,60.894063211313856
57,68,0.0
57,36882,0.0
57,58,0.0
