group,variable,value
11865,11865,83.0221601814692
11865,192,0.17448961786773687
11865,3768,0.0407142441691386
11865,1853,0.011632641191182458
11865,1367,0.0
11865,120161,0.017448961786773687
11865,10333,0.017448961786773687
11865,362,0.005816320595591229
11865,5603,0.06397952655150352
11865,118568,0.058163205955912296
11865,2316,0.0
11865,478,0.20938754144128424
11865,1470,0.005816320595591229
11865,9460,0.07561216774268598
11865,20493,0.017448961786773687
11865,99171,0.023265282382364916
11865,570,0.005816320595591229
11865,7877,0.023265282382364916
11865,890,0.005816320595591229
11865,2743,0.0
192,11865,0.43534343760077393
192,192,77.92647533053854
192,3768,0.032247662044501774
192,1853,0.032247662044501774
192,1367,0.04837149306675266
192,120161,0.0
192,10333,0.06449532408900355
192,362,0.032247662044501774
192,5603,0.0
192,118568,0.14511447920025797
192,2316,0.0
192,478,0.0
192,1470,0.06449532408900355
192,9460,0.04837149306675266
192,20493,0.0
192,99171,0.0
192,570,0.0
192,7877,0.0
192,890,0.016123831022250887
192,2743,0.016123831022250887
3768,11865,0.228310502283105
3768,192,0.0380517503805175
3768,3768,82.53424657534246
3768,1853,0.1141552511415525
3768,1367,0.15220700152207
3768,120161,0.0
3768,10333,0.15220700152207
3768,362,0.0
3768,5603,0.0
3768,118568,0.1141552511415525
3768,2316,0.0
3768,478,0.0
3768,1470,0.0
3768,9460,0.0
3768,20493,0.0
3768,99171,0.0
3768,570,0.076103500761035
3768,7877,0.0
3768,890,0.1141552511415525
3768,2743,0.0380517503805175
1853,11865,0.35799522673031026
1853,192,0.11933174224343676
1853,3768,0.0
1853,1853,80.5489260143198
1853,1367,0.0
1853,120161,0.0
1853,10333,0.05966587112171838
1853,362,0.11933174224343676
1853,5603,0.0
1853,118568,0.0
1853,2316,0.05966587112171838
1853,478,0.0
1853,1470,0.0
1853,9460,0.0
1853,20493,0.0
1853,99171,0.0
1853,570,0.11933174224343676
1853,7877,0.0
1853,890,0.0
1853,2743,0.05966587112171838
1367,11865,0.08032128514056225
1367,192,0.08032128514056225
1367,3768,0.24096385542168677
1367,1853,0.0
1367,1367,79.03614457831326
1367,120161,0.0
1367,10333,0.0
1367,362,0.0
1367,5603,0.0
1367,118568,0.0
1367,2316,0.0
1367,478,0.08032128514056225
1367,1470,0.0
1367,9460,0.0
1367,20493,0.0
1367,99171,0.0
1367,570,0.0
1367,7877,0.0
1367,890,0.08032128514056225
1367,2743,0.0
120161,11865,0.17574692442882248
120161,192,0.08787346221441124
120161,3768,0.0
120161,1853,0.0
120161,1367,0.0
120161,120161,80.31634446397187
120161,10333,0.0
120161,362,0.6151142355008787
120161,5603,0.0
120161,118568,0.0
120161,2316,0.17574692442882248
120161,478,0.0
120161,1470,0.0
120161,9460,0.0
120161,20493,0.0
120161,99171,0.0
120161,570,0.08787346221441124
120161,7877,0.0
120161,890,0.08787346221441124
120161,2743,0.0
5603,11865,0.2047082906857728
5603,192,0.511770726714432
5603,3768,0.0
5603,1853,0.0
5603,1367,0.0
5603,120161,0.0
5603,10333,0.0
5603,362,0.0
5603,5603,79.52917093142273
5603,118568,0.1023541453428864
5603,2316,0.0
5603,478,0.0
5603,1470,0.0
5603,9460,0.1023541453428864
5603,20493,0.0
5603,99171,0.0
5603,570,0.0
5603,7877,0.0
5603,890,0.0
5603,2743,0.0
362,11865,0.31779661016949157
362,192,0.0
362,3768,0.0
362,1853,0.0
362,1367,0.0
362,120161,0.211864406779661
362,10333,0.1059322033898305
362,362,74.15254237288136
362,5603,0.0
362,118568,0.0
362,2316,0.0
362,478,0.0
362,1470,0.0
362,9460,0.0
362,20493,0.0
362,99171,0.0
362,570,0.0
362,7877,0.0
362,890,0.0
362,2743,0.0
1470,11865,0.5376344086021506
1470,192,0.21505376344086022
1470,3768,0.21505376344086022
1470,1853,0.0
1470,1367,0.10752688172043011
1470,120161,0.0
1470,10333,0.10752688172043011
1470,362,0.0
1470,5603,0.0
1470,118568,0.0
1470,2316,0.0
1470,478,0.0
1470,1470,77.52688172043011
1470,9460,0.0
1470,20493,0.0
1470,99171,0.0
1470,570,0.0
1470,7877,0.0
1470,890,0.0
1470,2743,0.0
2316,11865,0.2254791431792559
2316,192,0.11273957158962795
2316,3768,0.0
2316,1853,0.0
2316,1367,0.2254791431792559
2316,120161,0.0
2316,10333,0.5636978579481398
2316,362,0.3382187147688839
2316,5603,0.0
2316,118568,0.0
2316,2316,77.90304396843291
2316,478,0.0
2316,1470,0.3382187147688839
2316,9460,0.0
2316,20493,0.0
2316,99171,0.0
2316,570,0.0
2316,7877,0.0
2316,890,0.0
2316,2743,0.0
10333,11865,0.0
10333,192,0.7909604519774011
10333,3768,0.0
10333,1853,0.0
10333,1367,0.0
10333,120161,0.0
10333,10333,76.49717514124293
10333,362,0.3389830508474576
10333,5603,0.0
10333,118568,0.11299435028248588
