Author Community
A_Dhall 129
N_Shaker 2
S_Alghowinem 129
WL_Zheng 75
W_Zheng 156
B_Schuller 46
G_Valenza 6
JF_Grafsgaard 7
R_Goecke 129
S_Mariooryad 8
A_Greco 6
H_Ishiguro 107
K_Dautenhahn 9
M_Carter 90
O_Celiktutan 11
R_Lotfian 8
SL_Happy 12
S_Latif 43
A_Lanata 6
C_Filippini 14
E_Cambria 15
E_Sariyanidi 11
F_Allison 90
F_Rea 148
H_Admoni 135
H_Meng 87
JB_Wiggins 7
J_Han 46
M_Soleymani 11
M_Wöllmer 46
PH_Kahn 107
PH_Kahn_Jr 107
R_Oliveira 2
R_Rana 43
S_Ghosh 46
S_Li 22
S_Nikolaidis 32
S_Wang 156
S_Zhang 24
S_Zhao 95
T_Iqbal 168
Y_Kong 27
A_Blackler 28
A_Clodic 29
A_Gaschler 29
A_Pereira 2
A_Richert 31
A_Saran 32
A_Sauppé 33
A_Sciutti 148
A_Tabrez 135
B_Gromov 34
B_Hayes 135
CA_Frantzidis 35
D_Cameron 36
D_Cardone 14
D_Kollias 11
D_McDuff 38
D_Perpetuini 14
D_Porfirio 33
D_Szafir 201
EA_Sisbot 29
EB_Sandoval 40
E_Laksana 46
E_Lenz 41
F_Altarriba_Bertran 2
F_Eyben 46
F_Garcia 29
F_Ringeval 46
GN_Yannakakis 2
G_Hoffman 32
G_Sandini 148
H_Gunes 11
H_Hedayati 201
H_Liu 156
I_Leite 2
J_Chen 22
J_Joshi 129
J_Kennedy 29
J_Lindblom 148
J_Novikova 42
J_See 43
J_Zeng 156
KP_Tang 32
KS_Haring 44
L_Citi 6
L_Watts 42
MK_Lee 32
M_Chita-Tegmark 201
M_Giuliani 29
M_Glodek 46
M_Valstar 46
N_Jaques 38
O_AlZoubi 98
O_Palinko 148
P_Arriaga 2
P_Baxter 29
P_Lucey 129
RA_Calvo 98
R_Khosrowabadi 48
R_Mead 44
SS_Rautaray 50
S_Asteriadis 2
S_Benini 51
S_Diefenbach 41
S_Lemaignan 29
S_Satake 107
S_Taylor 38
T_Williams 201
Y_Jia 27
Y_Li 156
Z_Chi 22
AA_Badr 52
AA_Samadani 29
AM_Badshah 54
A_Abbasi 156
A_Baird 15
A_Ben-Youssef 95
A_Cafaro 57
A_Crabtree 58
A_Eguchi 59
A_Hentout 60
A_Jan 87
A_Kitsikidis 61
A_Lazar 62
A_Mahmood 63
A_Maoudj 60
A_Paiva 2
A_Pradhan 62
A_Sandygulova 64
A_Sano 38
A_Sharma 65
A_Tamkin 66
A_Tawari 67
A_Thomaz 32
A_Vinciarelli 11
A_Waytz 69
A_Weiss 70
A_Zoran 71
BC_Ng 15
BF_Malle 135
B_Alenljung 148
B_Hatscher 72
B_Martinez 11
B_Mutlu 107
B_Nansen 90
B_Shneiderman 74
B_Stasak 129
CH_Chuang 75
CH_Wu 76
CJAM_Willemse 77
CL_Van_Straten 78
CM_Huang 32
CR_Guerrero 79
C_Bazinas 80
C_Bratsas 35
C_Chang 81
C_Chattopadhyay 82
C_Debras 83
C_Edwards 571
C_Esterwood 85
C_Jeunet 86
C_Lan 87
C_Lutteroth 88
C_Lytridis 80
C_Mancini 89
C_Munteanu 90
C_Quan 91
C_Vi 86
C_Wang 92
DA_Bryant 93
DF_Glas 107
D_DAuria 94
D_Dutia 43
D_Ghosal 15
D_Glowinski 95
D_Jiang 156
D_Kent 135
D_Krupke 97
D_Lopez-Martinez 98
D_Mazzei 99
D_Meng 100
D_Tjondronegoro 101
D_Ullman 135
D_Wu 75
D_Zhou 102
EA_Croft 103
EC_Grigore 2
EG_Krumhuber 98
EJ_Cheon 105
EJ_De_Visser 571
E_Avots 106
E_Cerezo 11
E_Cha 107
E_Collins 36
E_Dellandréa 156
E_Dimara 109
E_Ghaleb 2
E_Granger 110
E_Lavrov 111
E_Park 112
E_Prati 113
FA_Robinson 44
F_Alonso-Martin 114
F_Anelli 115
F_Correia 2
F_French 89
F_Lanubile 116
F_Liljeros 117
F_Moutarde 118
F_Persia 94
F_Steinicke 97
F_Zambetta 43
GA_Kantor 120
GJ_Nalepa 121
GM_Lucas 46
G_Ajaykumar 32
G_Barquero 122
G_Castellano 95
G_Ding 95
G_Irie 11
G_Jakus 124
G_Li 75
G_Paltoglou 98
G_Pons 125
G_Tao 32
G_Zhao 129
HH_Vilhjálmsson 57
HI_Suk 126
HQ_Khor 43
HS_Alavi 127
HV_Le 128
H_Chen 22
H_Dibeklioğlu 11
H_Ferdinando 130
H_Han 156
H_Molyneaux 90
H_Monkaresi 98
H_Nemlekar 43
H_Salam 11
H_Soh 32
H_Tabia 131
H_Ullah 63
H_Yao 95
I_Hirskyj-Douglas 132
I_Hupont 11
I_Matthews 129
JCF_Marinero 79
JF_Cohn 129
JH_Janssen 133
JH_Ruckert 107
JM_Girard 129
JP_Vasconez 120
JR_Cauchard 66
JV_Gómez 134
JW_Hart 135
J_Aitken 36
J_Cacioppo 69
J_Cai 156
J_Deng 46
J_Downs 90
J_Forlizzi 32
J_Frommel 136
J_Grafsgaard 7
J_Guna 124
J_Guo 106
J_Hernandez 38
J_Hofmann 137
J_Honorio 138
J_Ji 139
J_Kjeldskov 140
J_Lazar 141
J_Nelles 142
J_Nicolle 143
J_Núnez 122
J_Qadir 43
J_Rosén 148
J_Sequeira 114
J_Togelius 2
J_Vitale 144
J_Wan 106
J_Xing 87
J_de_Wit 145
KA_Mamun 146
K_Ahmed 146
K_Akash 147
K_Bailly 143
K_Kinley 101
K_Kompatsiari 148
K_Kunze 149
K_Kutt 121
K_Masai 149
K_Rogers 136
K_Sycara 150
K_Winkle 2
K_Yun 138
LC_Yu 46
LEC_Rocha 117
LP_Morency 46
LP_Robert 85
L_Angelini 127
L_Chittaro 152
L_Likforman-Sulem 153
L_Onnasch 154
L_Pang 155
L_Stappen 15
L_Wang 156
L_Yang 156
MC_Leu 22
MF_Valstar 11
MGR_Alam 156
MI_Ahmad 40
MJ_Gonzales 168
MMM_Peeters 571
MM_Hassan 156
MR_Fraune 107
MR_Islam 40
MS_Hussain 98
MTM_Valdivia 157
MTP_Adam 158
MX_Huang 43
MZ_Uddin 156
M_Abdelwahab 8
M_Awais 160
M_Baumgartner 161
M_Bennamoun 87
M_Blancas 162
M_Błażek 163
M_Caon 127
M_Chen 32
M_Courgeon 164
M_Fiore 29
M_Garbarino 165
M_Gibbs 90
M_Hashemian 2
M_Heijnen 48
M_Hussain 98
M_Jang 2
M_Kaźmierczak 163
M_Keijsers 40
M_Kuhn 166
M_Kächele 46
M_Lea 167
M_Lewis 150
M_Mahmoud 168
M_Malfaz 114
M_Nazir 169
M_Neerincx 170
M_Neumann 171
M_Pan 135
M_Pellicciari 113
M_Peng 92
M_Peruzzini 113
M_Pogačnik 124
M_Popa 2
M_Shiomi 107
M_Simão 172
M_Strait 201
M_Tielman 170
M_Tonkin 144
M_Ullah 63
M_Uzair 63
NT_Fitter 107
N_Ayari 173
N_Bosch 98
N_Campbell 174
N_Cummins 129
N_Majumder 15
N_Mavridis 134
N_Mendes 172
N_Rahim 54
N_Roy 107
N_Walker 175
O_Mangin 2
O_Mubin 40
PV_Rouast 158
P_Alves-Oliveira 2
P_Kaniarasu 32
P_Kratzer 176
P_Lopes 2
P_Neto 172
P_Premaratne 177
P_Ruijten 178
P_Sarkar 179
P_Sharma 180
P_Trung 29
Q_Ke 87
Q_Xu 129
RA_Khot 181
RL_Mandryk 182
RM_Mehmood 183
RP_McMahan 184
RR_Morris 38
RR_Murphy 185
R_Iqbal 186
R_Kaliouby 38
R_Orji 182
R_Pappagari 187
R_Schulz 176
R_Spears 167
R_Tedesco 188
R_Toris 135
R_Wohleber 189
R_Xia 22
R_Yuvaraj 190
SH_Seo 191
SJ_Kim 192
SJ_Wang 129
SK_Ong 193
SMJ_Zafra 157
SM_Fiore 145
SN_Daimi 194
SN_Srirama 81
S_An 87
S_Bagchi 195
S_Breslin 196
S_DMello 98
S_Escalera 122
S_France 156
S_Hennig 197
S_Honig 198
S_Jaiswal 46
S_Lee 117
S_Loth 29
S_Mascarenhas 2
S_Mayer 128
S_Molinillo 199
S_Müller 31
S_Oviatt 90
S_Poria 15
S_Qi 27
S_Qiu 156
S_Rayatdoost 11
S_Reig 32
S_Risi 202
S_Saha 146
S_Saunderson 203
S_Schmidt 204
S_Schröder 31
S_Schuetz 205
S_Serholt 206
S_Song 87
S_Thunberg 207
S_Tognetti 165
S_Tomažič 124
S_Varrasi 208
S_You 85
S_Younis 43
S_Zhu 155
TJ_Wiltshire 145
TMT_Do 209
TY_Wu 210
T_Baltrušaitis 168
T_Dalbis 188
T_Dang 129
T_Iio 107
T_Kopp 161
T_Law 201
T_Maniak 186
T_Platt 137
T_Reid 147
T_Song 156
T_Wang 187
T_Yang 187
T_Zhang 156
T_Zhou 27
U_Rajendra_Acharya 190
VV_Unhelkar 107
V_Rapp 143
V_Vouloutsi 162
WC_de_Melo 110
WJ_Yan 129
WL_Hu 147
WL_Raffe 43
WY_Chang 211
W_Dong 212
W_Hariri 131
W_Pan 212
W_Tao 22
W_Wang 27
W_Zeng 87
X_Baró 122
X_Huang 129
X_Niu 156
X_Xia 156
YD_Mehta 181
YS_Kim 192
Y_Ayzenberg 213
Y_Chen 27
Y_Gu 43
Y_Güçlütürk 214
Y_Kim 107
Y_Lee 149
Y_Liu 22
Y_Mehta 15
Y_She 100
Y_Zhang 156
Y_Zhou 201
Y_Zong 156
Z_Al_Mahdi 215
Z_Huang 129
Z_Lei 106
Z_Liu 156
Z_Shao 156
Z_Xu 122
Z_Yang 8
Ö_Erkent 216
AA_Alnuaim 217
AA_Malik 218
AA_Nazari_Shirehjini 219
AA_Salah 11
ACM_Fong 156
AC_Cruz 220
AC_Dirican 221
AD_Cheok 222
AD_Dragan 22
AE_Block 107
AE_Depping 182
AF_Siu 224
AG_Campbell 64
AH_Korayem 225
AJ_Moon 103
AK_Davison 226
AK_Dey 227
AK_Ostrowski 135
AK_Pandey 228
AL_Baker 135
AL_Krummheuer 140
AL_Thomaz 32
AL_Vollmer 229
AMH_Abrams 230
AM_Aroyo 148
AM_Brock 231
AM_Chung 232
AM_Ghanbari 233
AM_Zanchettin 95
AN_Meyer 234
AN_Patel 235
AP_Chaves 236
AP_Key 101
AR_Jensenius 237
AR_Zamir 238
AS_Ghazali 239
AS_Won 133
AT_Alan 240
AT_Nguyen 38
A_Abubshait 241
A_Abuduweili 22
A_Adams 168
A_Affanni 242
A_Agnihotri 243
A_Ajoudani 95
A_Al-Hamadi 98
A_Aljanaki 11
A_Almohamed 244
A_Andriella 245
A_Antle 246
A_Armato 6
A_Arntz 247
A_Azadvar 248
A_Baghdadi 249
A_Basu 12
A_Beck 250
A_Bevins 251
A_Bisio 148
A_Boateng 156
A_Bulling 252
A_Butz 41
A_Calero_Valdez 253
A_Camurri 95
A_Cangelosi 254
A_Causo 255
A_Chamberlain 58
A_Cont 256
A_Cox 313
A_Cruz-Maya 201
A_DAusilio 148
A_Dal_Forno 258
A_Demetriou 259
A_Deshmukh 260
A_Di_Nuovo 208
A_Dini 261
A_Dix 262
A_Dragan 135
A_Druin 263
A_Dzedzickis 264
A_Edwards 571
A_Fishman 265
A_Galdeano 266
A_Gams 267
A_Gangemi 268
A_Gasteratos 269
A_George 12
A_Guneysu 270
A_Gupta 271
A_Haddadi 103
A_Henschel 272
A_Hepp 273
A_Holzinger 253
A_Hong 203
A_Hussain 15
A_Jevtić 274
A_Kaklauskas 264
A_Kalboussi 275
A_Kappas 98
A_Karpov 276
A_Kazemzadeh 277
A_Kiselev 278
A_Kleinsmith 87
A_Koene 279
A_Kołakowska 280
A_Krekhov 281
A_Kristoffersson 278
A_Kumar 282
A_Kushki 283
A_Lanatà 6
A_Landowska 280
A_Langer 284
A_Latham 285
A_Liapis 286
A_Lopez 287
A_Loutfi 278
A_Lucas 208
A_Löcken 288
A_Mahmoud 38
A_Malik 289
A_Matic 290
A_Memo 291
A_Mencattini 46
A_Metallinou 8
A_Moilanen 43
A_Mollahosseini 292
A_Möller 293
A_Nandi 87
A_Nandy 294
A_Nazir 22
A_Odic 295
A_Origlia 9
A_Oulasvirta 296
A_Pampouchidou 297
A_Parnandi 298
A_Parush 299
A_Paz-Lopez 300
A_Pecora 301
A_Penn 302
A_Perina 11
A_Perzylo 303
A_Rajavenkatanarayanan 304
A_Ramachandran 29
A_Ramkumar 305
A_Rapp 306
A_Ray 307
A_Roda 308
A_Roitberg 303
A_Rojik 2
A_Roncone 2
A_Rosenthal-von_der_Pütten 309
A_Rossi 9
A_Roy 310
A_Russo 268
A_Saeed 98
A_Samara 22
A_Sanna 311
A_Schmidt 227
A_Sedda 11
A_Selamat 312
A_Sellen 313
A_Serio 6
A_Singh 180
A_Specian 314
A_Steinfeld 32
A_Syberfeldt 156
A_Tanevska 148
A_Toet 77
A_Tyack 296
A_Voida 180
A_Voulodimos 317
A_Vourvopoulos 318
A_Yazdani 319
A_Yeh 320
A_Yüce 321
A_Zacharaki 269
A_Zamansky 89
BAM_Schouten 322
BA_Newman 135
BG_Kim 324
BJ_Lance 75
BL_Silva 325
BN_Li 156
BR_Gaines 326
BS_Chaparro 327
BT_Gill 107
BU_Cowley 328
BW_Gawali 329
BW_Schuller 46
B_Abbasi 330
B_Ahmed 331
B_Akan 332
B_Akgun 32
B_Baumgaertner 70
B_Bhanu 220
B_Busch 333
B_Calabrese 334
B_Chandrasekaran 335
B_Dániel 336
B_Fang 337
B_Fetahu 338
B_García-Martínez 339
B_Hartmann 340
B_Hasani 292
B_Hu 22
B_Irfan 29
B_Jerbić 341
B_Jiang 11
B_Kim 342
B_Kratzwald 343
B_Leichtmann 344
B_Lepri 345
B_Li 27
B_Liu 156
B_Marenko 346
B_Maurer 347
B_Miller 44
B_Mocan 348
B_Mott 7
B_Myagmarjav 349
B_Nardi 350
B_Nesset 260
B_Neuhofer 351
B_Nojavanasghari 168
B_Pfleging 352
B_Raghavan 353
B_Reily 95
B_Reuderink 354
B_Rosman 355
B_Sarigul 356
B_Semaan 357
B_Stoll 571
B_Tay 129
B_Tomlinson 350
B_Vlasenko 46
B_Weyers 262
B_Wu 358
B_Xiao 8
