,author,community
0,Xilin_Chen_0001,0
1,Greg_Mori,42
2,Konrad_Schindler,42
3,Hongdong_Li,42
4,Tomás_Pajdla,2
5,Jianbo_Shi,2
6,C._V._Jawahar,42
7,Cheng-Lin_Liu,2
8,Hiroshi_Ishikawa_0002,2
9,Sridha_Sridharan,3
10,Clinton_Fookes,3
11,Tat-Jun_Chin,4
12,Imari_Sato,4
13,Rama_Chellappa,4
14,Lei_Wang_0001,4
15,Juergen_Gall,4
16,Dongmei_Jiang,5
17,Hichem_Sahli,5
18,Antonios_Liapis,22
19,Georgios_N._Yannakakis,22
20,Daniel_McDuff,7
21,Mary_Czerwinski,7
22,Hiroshi_Kawasaki,2
23,Ryo_Furukawa_0001,2
24,Hu_Han_0001,0
25,Cristian_Rusu,8
26,Silvana_Roncagliolo,8
27,Shohei_Nobuhara,9
28,Takashi_Matsuyama,9
29,Vincent_Lepetit,4
30,Yoichi_Sato,4
31,Fabio_Galasso,11
32,Mario_Fritz,11
33,Wei-Chen_Chiu,11
34,Shang-Hong_Lai,4
35,Ko_Nishino,4
36,Dmytro_Mykheievskyi,12
37,Viktor_Porokhonskyy,12
38,Simon_Denman,3
39,Takayoshi_Yamashita,13
40,Hironobu_Fujiyoshi,13
41,Suha_Kwak,14
42,Minsu_Cho,14
43,Dmytro_Borysenko,12
44,Florian_Eyben,15
45,Björn_W._Schuller,15
46,Joost_Broekens,15
47,Mark_A._Neerincx,15
48,Jean-Yves_Guillemaut,16
49,Adrian_Hilton,16
50,Martin_R._Oswald,42
51,Marc_Pollefeys,42
52,Amanda_C._de_C._Williams,17
53,Nadia_Bianchi-Berthouze,17
54,Ole_Johannsen,18
55,Bastian_Goldluecke,18
56,Yinhao_Li,19
57,Yen-Wei_Chen_0001,19
58,Lachlan_Brumley,20
59,Carlo_Kopp,20
60,Daniel_Kifer,21
61,C._Lee_Giles,21
62,Kevin_B._Korb,20
63,Gale_M._Lucas,22
64,Jonathan_Gratch,22
65,Gilbert_Lim,23
66,Mong-Li_Lee,23
67,Lu_Yang_0006,24
68,Qing_Song_0006,24
69,Evren_Imre,16
70,Zhengxi_Hu,28
71,Jingtai_Liu,28
72,Le_Yang_0009,5
73,Temitayo_A._Olugbade,17
74,Panayiotis_G._Georgiou,26
75,Shrikanth_S._Narayanan,26
76,Wynne_Hsu,23
77,Hatem_Alismail,3
78,Brett_Browning,3
79,David_Melhart,22
80,Tsubasa_Hirakawa,13
81,Koen_V._Hindriks,15
82,Frédéric_Maire,3
83,Anders_P._Eriksson,3
84,Valentina_Bellemo,23
85,Daniel_Shu_Wei_Ting,23
86,Jiechao_Guan,27
87,Zhiwu_Lu_0001,27
88,Yasushi_Makihara,28
89,Yasushi_Yagi,28
90,Dominic_Jack,3
91,Tien_Yin_Wong,23
92,Elizabeth_S._Kim,29
93,Frederick_Shic,29
94,Dafang_He,21
95,Mathieu_Salzmann,11
96,Pascal_Fua,11
97,Monika_Sharma,30
98,Lovekesh_Vig,30
99,Matteo_Poggi,4
100,Stefano_Mattoccia,4
101,Bing_Li_0001,31
102,Weiming_Hu,31
103,Vladislav_Golyanik,32
104,Christian_Theobalt,32
105,Argel_A._Bandala,33
106,Elmer_P._Dadios,33
107,Ryusuke_Sagawa,2
108,Isabel_Gonzalez,5
109,Chaoyang_Wang,3
110,Simon_Lucey,3
111,Federico_Tombari,4
112,Nassir_Navab,4
113,Alexandre_Boulch,9
114,Renaud_Marlet,9
115,Zakia_Hammal,5
116,Jeffrey_F._Cohn,5
117,Ognjen_Rudovic,15
118,Maja_Pantic,15
119,Takuya_Funatomi,34
120,Michihiko_Minoh,34
121,John_Anthony_C._Jose,33
122,Jean-Sébastien_Franco,9
123,Edmond_Boyer,9
124,Masaaki_Iiyama,34
125,Jean-Claude_Martin,35
126,Mehdi_Ammi,35
127,Yu_Cheng_0001,36
128,Jingjing_Liu_0001,36
129,Jing_Shi_0005,16
130,Chenliang_Xu,16
131,Inhan_Kim,37
132,Daijin_Kim_0001,37
133,Zheng_Wen,16
134,Franck_Dernoncourt,16
135,Ning_Xu_0007,16
136,Jinyi_Ho,23
137,Trung_Bui,16
138,Tanja_Schneeberger,17
139,Patrick_Gebhard,17
140,Hijung_Valentina_Shin,38
141,Wojciech_Matusik,38
142,Tae-Hyun_Oh,38
143,Mohamed_A._Elgharib,38
144,Alexandre_Kaspar,38
145,Joonyeong_Lee,37
146,Shafin_Rahman,39
147,Salman_H._Khan_0001,39
148,Iain_Lee,40
149,Shireen_Y._Elhabian,40
150,Zicong_Wang,41
151,Junli_Wang,41
152,Pan_Ji,11
153,Mehrtash_Harandi,11
154,Didier_Stricker,32
155,Chungang_Yan,41
156,Changjun_Jiang,41
157,Yi_Zhu_0001,42
158,Shawn_D._Newsam,42
159,Alan_Dorin,43
160,Jon_McCormack,43
161,Jing_Tan,44
162,Kuntao_Xiao,44
163,Yutaro_Iwamoto,19
164,Haslina_Hamzah,23
165,Nishant_Kumar_0005,45
166,Stefan_Gumhold,45
167,Zhengyi_Lv,44
168,Yuwen_He,44
169,Pengfei_Xiong,44
170,Filippo_Bergamasco,237
171,Andrea_Torsello,237
172,Phoebe_Mae_L._Ching,33
173,Yanqing_Wang,47
174,Wenzhao_Zhong,47
175,Yuchen_Xie,23
176,Fu-En_Wang,48
177,Juan-Ting_Lin,48
178,Zejian_Yuan,49
179,Chong_Zhang,49
180,Changil_Kim_0001,38
181,Shenghao_Zhang,49
182,Andrew_Lewis,20
183,Amelia_Wenger,20
184,Abouzar_Eslami,45
185,Dmitrij_Schlesinger,45
186,Erdem_Ünal,45
187,Benyi_Hu,51
188,Yuehu_Liu,51
189,Joris_van_Vugt,52
190,Olaf_Booij,52
191,Pascal_Mettes,52
192,Xiangpeng_Chu,47
193,Qilin_Zhang,51
194,Le_Wang_0003,51
195,Xiongwen_Yang,47
196,Hyunsung_Go,53
197,Sunghyun_Cho,53
198,Chi_Zhang_0020,51
199,Junho_Kim_0001,53
200,Mengze_Li,45
201,Jose_Martin_Z._Maningo,33
202,Hyunjoon_Lee,53
203,Brian_Scassellati,29
204,Chen_Chen_0036,54
205,Xiyuan_Hu,54
206,Jhony_K._Pontes,3
207,Pradeep_Sen,42
208,Ming-Yu_Liu_0001,42
209,Tobias_Hänel,45
210,Sena_Kiciroglu,11
211,Taeho_Choi,53
212,Wanchao_Chi,49
213,Yonggen_Ling,49
214,Chieh-Chi_Kao,42
215,Teng-Yok_Lee,42
216,Qiang_Ren,41
217,Frank_Kaptein,15
218,Yang_Zhao,55
219,Haofeng_Zhang,55
220,Rahaf_Aljundi,56
221,Tinne_Tuytelaars,56
